,,26,0S,,50.0W,,UA_ID:,999,99  SF,_ID:,66666,OS_ID:,,VER,SION: 2,1112,CCVR_S,ub TEMP_,Sub,,,,,,,
23,1,4,4,16,101.6,0.335,1.508,0.01,1216,477,-33.4,0.3177,0.36,0.15,2.6,180,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,17,55,0.334,1.234,0.009,1231,464,-61.2,0.386,0.36,0.16,2.6,173,14,296.1,2,0,0,73,1010,8,NAD-SFC,NoSubs
23,1,4,4,18,39.4,0.277,1.107,0.009,1241,351,-48.4,0.386,0.36,0.21,2.1,169,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,19,4.6,0.081,0.543,0.009,1242,111,-10.5,0.3842,0.36,0.39,0.5,999,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,20,-4.2,0.08,-9,-9,-999,55,11,0.3274,0.36,1,1.5,229,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,21,-0.4,0.028,-9,-9,-999,12,4.3,0.3842,0.36,1,0.5,999,14,296.1,2,0,0,73,1010,8,NAD-SFC,NoSubs
23,1,4,4,22,-4.1,0.079,-9,-9,-999,54,10.9,0.3177,0.36,1,1.5,199,14,295.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,4,4,23,-4.4,0.079,-9,-9,-999,54,10.1,0.3177,0.36,1,1.5,222,14,295.1,2,0,0,83,1010,3,NAD-SFC,NoSubs
23,1,4,4,24,-4.4,0.079,-9,-9,-999,54,10.1,0.3177,0.36,1,1.5,218,14,295.1,2,0,0,83,1010,3,NAD-SFC,NoSubs
23,1,5,5,1,-28.7,0.324,-9,-9,-999,444,107.4,0.3177,0.36,1,3.6,205,14,295.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,5,5,2,-32.2,0.313,-9,-9,-999,420,85.7,0.3177,0.36,1,3.6,204,14,295.1,2,0,0,88,1010,3,NAD-SFC,NoSubs
23,1,5,5,3,-40.2,0.374,-9,-9,-999,549,117.3,0.3177,0.36,1,4.1,197,14,294.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,5,5,4,-25,0.233,-9,-9,-999,283,45.3,0.3177,0.36,1,3.1,220,14,294.1,2,0,0,88,1010,1,NAD-SFC,NoSubs
23,1,5,5,5,-25,0.233,-9,-9,-999,269,45.3,0.3177,0.36,1,3.1,212,14,294.1,2,0,0,88,1010,1,NAD-SFC,NoSubs
23,1,5,5,6,-999,-9,-9,-9,-999,-999,-99999,0.3177,0.36,1,3.6,215,14,294.1,2,0,0,88,1010,99,NAD-SFC,NoSubs
23,1,5,5,7,-999,-9,-9,-9,-999,-999,-99999,0.3177,0.36,0.34,2.6,222,14,293.1,2,0,0,88,1010,99,NAD-SFC,NoSubs
23,1,5,5,8,-999,-9,-9,-9,-999,-999,-99999,0.3274,0.36,0.2,1.5,255,14,292.1,2,0,0,94,1010,99,NAD-SFC,NoSubs
23,1,5,5,9,-999,-9,-9,-9,-999,-999,-99999,0.3274,0.36,0.16,3.1,259,14,292.1,2,0,0,94,1010,99,NAD-SFC,NoSubs
23,1,5,5,10,-999,-9,-9,-9,-999,-999,-99999,0.3274,0.36,0.15,2.1,268,14,294.1,2,0,0,83,1010,99,NAD-SFC,NoSubs
23,1,5,5,11,-999,-9,-9,-9,-999,-999,-99999,0.3274,0.36,0.14,3.1,238,14,296.1,2,0,0,73,1010,99,NAD-SFC,NoSubs
23,1,5,5,12,-999,-9,-9,-9,-999,-999,-99999,0.3274,0.36,0.14,3.6,249,14,297.1,2,0,0,74,1010,99,NAD-SFC,NoSubs
23,1,5,5,13,158.5,0.507,-9,-9,-999,866,-74,0.3609,0.36,0.14,4.1,128,14,298.1,2,0,0,61,1010,3,NAD-SFC,NoSubs
23,1,5,5,14,153.6,0.514,-9,-9,-999,885,-79.7,0.386,0.36,0.14,4.1,140,14,299.1,2,0,0,65,1010,1,NAD-SFC,NoSubs
23,1,5,5,15,138.2,0.561,-9,-9,-999,1008,-115.3,0.386,0.36,0.14,4.6,135,14,300.1,2,0,0,58,1010,1,NAD-SFC,NoSubs
23,1,5,5,16,113.4,0.657,-9,-9,-999,1277,-225.5,0.3609,0.36,0.15,5.7,118,14,300.1,2,0,0,54,1010,1,NAD-SFC,NoSubs
23,1,5,5,17,80.4,0.753,-9,-9,-999,1564,-478.3,0.3609,0.36,0.16,6.7,119,14,299.1,2,0,0,58,1010,1,NAD-SFC,NoSubs
23,1,5,5,18,41.8,0.797,-9,-9,-999,1706,-1093,0.3609,0.36,0.21,7.2,116,14,300.1,2,0,0,62,1010,1,NAD-SFC,NoSubs
23,1,5,5,19,1.4,0.788,-9,-9,-999,1679,-8888,0.3609,0.36,0.39,7.2,117,14,299.1,2,0,0,65,1010,1,NAD-SFC,NoSubs
23,1,5,5,20,-64,0.705,-9,-9,-999,1434,493.6,0.3609,0.36,1,6.7,127,14,298.1,2,0,0,69,1010,1,NAD-SFC,NoSubs
23,1,5,5,21,-64,0.645,-9,-9,-999,1251,378.1,0.3609,0.36,1,6.2,122,14,298.1,2,0,0,65,1010,1,NAD-SFC,NoSubs
23,1,5,5,22,-41.6,0.39,-9,-9,-999,656,128.9,0.3609,0.36,1,4.1,130,14,297.1,2,0,0,69,1010,1,NAD-SFC,NoSubs
23,1,5,5,23,-27.2,0.254,-9,-9,-999,329,54.6,0.386,0.36,1,3.1,148,14,296.1,2,0,0,78,1010,1,NAD-SFC,NoSubs
23,1,5,5,24,-14.7,0.145,-9,-9,-999,141,18.6,0.386,0.36,1,2.6,162,14,296.1,2,0,0,73,1010,1,NAD-SFC,NoSubs
23,1,6,6,1,-8.7,0.111,-9,-9,-999,89,14.1,0.3177,0.36,1,2.1,186,14,294.1,2,0,0,88,1010,3,NAD-SFC,NoSubs
23,1,6,6,2,-13.7,0.137,-9,-9,-999,122,17.1,0.3177,0.36,1,2.6,213,14,294.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,6,6,3,-4.5,0.079,-9,-9,-999,54,9.9,0.3177,0.36,1,1.5,205,14,294.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,6,6,4,-9.3,0.114,-9,-9,-999,92,14.3,0.3504,0.36,1,2.1,283,14,293.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,6,6,5,-999,-9,-9,-9,-999,-999,-99999,0.3504,0.36,1,2.1,272,14,293.1,2,0,0,88,1010,99,NAD-SFC,NoSubs
23,1,6,6,6,-999,-9,-9,-9,-999,-999,-99999,0.3274,0.36,1,2.1,266,14,293.1,2,0,0,94,1010,99,NAD-SFC,NoSubs
23,1,6,6,7,-999,-9,-9,-9,-999,-999,-99999,0.3274,0.36,0.35,1.5,248,14,292.1,2,0,0,100,1010,99,NAD-SFC,NoSubs
23,1,6,6,8,-999,-9,-9,-9,-999,-999,-99999,0.3274,0.36,0.2,2.6,262,14,292.1,2,0,0,100,1010,99,NAD-SFC,NoSubs
23,1,6,6,9,-999,-9,-9,-9,-999,-999,-99999,0.3274,0.36,0.16,1.5,268,14,292.1,2,0,0,100,1010,99,NAD-SFC,NoSubs
23,1,6,6,10,116,0.293,-9,-9,-999,381,-19.6,0.3274,0.36,0.15,2.1,268,14,294.1,2,0,0,83,1010,1,NAD-SFC,NoSubs
23,1,6,6,11,140.4,0.299,-9,-9,-999,392,-17.1,0.3274,0.36,0.14,2.1,265,14,295.1,2,0,0,83,1010,3,NAD-SFC,NoSubs
23,1,6,6,12,155.3,0.539,-9,-9,-999,950,-90.8,0.3177,0.36,0.14,4.6,186,14,298.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,6,6,13,141.6,0.779,-9,-9,-999,1647,-300.3,0.386,0.36,0.14,6.7,141,14,298.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,6,6,14,137.9,0.778,-9,-9,-999,1647,-307.6,0.386,0.36,0.14,6.7,135,14,299.1,2,0,0,70,1010,6,NAD-SFC,NoSubs
23,1,6,6,15,138.7,0.816,-9,-9,-999,1767,-353.3,0.3609,0.36,0.14,7.2,132,14,299.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,6,6,16,114.2,0.864,-9,-9,-999,1923,-508.9,0.3609,0.36,0.15,7.7,132,14,299.1,2,0,0,61,1010,3,NAD-SFC,NoSubs
23,1,6,6,17,82,0.859,-9,-9,-999,1910,-695.6,0.3609,0.36,0.16,7.7,132,14,299.1,2,0,0,58,1010,3,NAD-SFC,NoSubs
23,1,6,6,18,43.8,0.704,-9,-9,-999,1453,-717.7,0.386,0.36,0.21,6.2,145,14,300.1,2,0,0,58,1010,3,NAD-SFC,NoSubs
23,1,6,6,19,3.5,0.897,-9,-9,-999,2033,-8888,0.3609,0.36,0.39,8.2,128,14,298.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,6,6,20,-64,0.838,-9,-9,-999,1851,828,0.386,0.36,1,7.7,141,14,299.1,2,0,0,58,1010,3,NAD-SFC,NoSubs
23,1,6,6,21,-64,0.822,-9,-9,-999,1791,781,0.3609,0.36,1,7.7,132,14,298.1,2,0,0,61,1010,3,NAD-SFC,NoSubs
23,1,6,6,22,-64,0.659,-9,-9,-999,1319,402.2,0.386,0.36,1,6.2,136,14,297.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,6,6,23,-42.6,0.399,-9,-9,-999,685,134,0.386,0.36,1,4.1,142,14,296.1,2,0,0,69,1010,1,NAD-SFC,NoSubs
23,1,6,6,24,-14.4,0.145,-9,-9,-999,253,18.9,0.386,0.36,1,2.6,136,14,296.1,2,0,0,69,1010,3,NAD-SFC,NoSubs
23,1,7,7,1,-46.8,0.455,-9,-9,-999,736,181.2,0.3609,0.36,1,4.6,128,14,295.1,2,0,0,78,1010,3,NAD-SFC,NoSubs
23,1,7,7,2,-42.1,0.4,-9,-9,-999,609,136.8,0.386,0.36,1,4.1,143,14,296.1,2,0,0,73,1010,2,NAD-SFC,Sub_CC
23,1,7,7,3,-14.6,0.145,-9,-9,-999,218,18.7,0.386,0.36,1,2.6,140,14,295.1,2,0,0,78,1010,2,NAD-SFC,Sub_CC
23,1,7,7,4,-27.2,0.254,-9,-9,-999,307,54.2,0.386,0.36,1,3.1,165,14,295.1,2,0,0,73,1010,1,NAD-SFC,NoSubs
23,1,7,7,5,-9.6,0.117,-9,-9,-999,110,15,0.386,0.36,1,2.1,143,14,295.1,2,0,0,73,1010,1,NAD-SFC,NoSubs
23,1,7,7,6,-2,0.053,-9,-9,-999,32,6.6,0.3177,0.36,1,1,216,14,292.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,7,7,7,4.6,0.233,0.218,0.005,80,270,-246.8,0.3177,0.36,0.35,2.1,209,14,292.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,7,7,8,47.1,0.21,1.009,0.005,786,232,-17.8,0.3177,0.36,0.2,1.5,214,14,292.1,2,0,0,94,1010,3,NAD-SFC,NoSubs
23,1,7,7,9,83.8,0.282,1.311,0.005,969,360,-24.2,0.3177,0.36,0.16,2.1,220,14,293.1,2,0,0,88,1010,1,NAD-SFC,NoSubs
23,1,7,7,10,104.7,0.336,1.482,0.005,1121,467,-32.6,0.3177,0.36,0.15,2.6,184,14,294.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,7,7,11,93.5,0.499,1.475,0.005,1239,846,-119.8,0.386,0.36,0.14,4.1,143,14,293.1,2,0,0,100,1010,8,NAD-SFC,NoSubs
23,1,7,7,12,123.5,0.484,1.679,0.005,1383,809,-82.6,0.3177,0.36,0.14,4.1,202,14,294.4,2,0,0,98,1010,7,NAD-SFC,NoSubs
23,1,7,7,13,105.2,0.431,1.633,0.005,1493,682,-68.7,0.3177,0.36,0.14,3.6,201,14,294.1,2,0,0,100,1010,8,NAD-SFC,NoSubs
23,1,7,7,14,137,0.392,1.862,0.008,1702,591,-39.7,0.3177,0.36,0.14,3.1,206,14,296.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,7,7,15,124,0.558,1.838,0.01,1805,1000,-126.2,0.386,0.36,0.14,4.6,147,14,298.1,2,0,0,78,1010,6,NAD-SFC,NoSubs
23,1,7,7,16,102.9,0.878,1.735,0.01,1830,1972,-592,0.386,0.36,0.15,7.7,135,14,299.1,2,0,0,70,1010,6,NAD-SFC,NoSubs
